@Relation TRAINING

@ATTRIBUTE jap_yen NUMERIC
@ATTRIBUTE euro NUMERIC
@ATTRIBUTE bitcoin NUMERIC

@DATA
102.161,0.738553,607
102.131,0.736654,593.4
101.954,0.734965,588.02
102.139,0.73583,591.29
102.075,0.73524,600.34
102.075,0.73524,588.22
101.904,0.735235,572.62
102.0345,0.73556,560.4
101.85,0.733385,579.99
101.685,0.734625,599.99
101.377,0.733033,589.56
101.405,0.73267,599.89
101.405,0.73267,641.11
101.28,0.730245,638.25
101.529,0.730625,650.5
101.833,0.732395,645.99
102.204,0.734805,629
102.07,0.73562,630
102.105,0.735455,630.57
102.105,0.735455,622.09
101.87,0.735024,623.98
101.56,0.734641,621.97
101.76,0.733891,616.87
101.332,0.735186,635
101.3365,0.734965,638.1
101.335,0.734805,630.88
101.335,0.734805,621.17
101.593,0.734741,622.9
101.6625,0.736971,616.86
101.7,0.739517,622.2
101.3,0.739451,632.6
101.356,0.739087,628.63
101.335,0.739425,627
101.335,0.739425,622.73
101.376,0.739655,618.26
101.482,0.742498,621
101.5045,0.742777,601.66
101.8435,0.742526,602.93
101.762,0.744495,596.23
101.845,0.744545,590.3
101.845,0.744545,586.53
101.8685,0.744045,585.95
102.098,0.745638,563.84
102.902,0.747385,582.04
102.827,0.746765,598.2
102.52,0.744755,589.59
102.625,0.744545,588.91
102.625,0.744545,588.5
102.468,0.745154,581.76
102.6105,0.748251,581.16
102.008,0.747325,585.84
102.1115,0.748725,588.02
102.04,0.745665,587.97
102.027,0.745615,590.96
102.015,0.745655,573.98
102.155,0.747021,566.69
102.244,0.748207,548.81
102.435,0.74806,507.99
102.474,0.748155,500.25
102.315,0.74663,521.97
102.375,0.74638,496.86
102.375,0.746325,475.22
102.5815,0.748293,491.98
102.873,0.750917,516.39
103.367,0.752485,519.28
103.7525,0.752944,514.65
103.9435,0.755373,497
103.945,0.754945,503.82
103.97,0.757834,512.18
104.1355,0.759325,511.87
103.941,0.757585,506
103.757,0.758688,509.3
104.056,0.760804,500.85
104.085,0.761395,479.04
104.085,0.76144,474.54
104.29,0.76167,474.5
105.119,0.761525,474.89
104.84,0.76102,487.43
105.2165,0.771974,477.65
105.0195,0.7719,479.78
105.089,0.77212,468.33
105.884,0.774698,473.2
106.4295,0.7743,476.57
106.761,0.77483,475.9
106.9515,0.773754,474.62
107.2435,0.771903,477.98
107.2435,0.771903,475.49
107.18,0.77217,469.47
106.955,0.770933,462.02
